,title,num_comments,grade,price,district,type,num_bedrooms,num_beds,num_toilets,num_people_can_in,labels,district_en,popularity,price level,type_new,ownership,price_group2,price level2,apartment,share
36,上海不约而同精品青年旅舍，上海性价比最高的青年旅社，临近人广和外滩,11,4.1,66,静安区,旅舍里的合住房间,1,6,1.0,6,"['灵活取消', '近地铁站', '免费停车', '可以做饭', '小区环境好']",Jing'an,9.831370618473319,very cheap,Hotel,Shared Room,group1,very cheap,Non-apartment,Not Shared
37,四人间80cm上下铺床位（一个床位价格）,40,3.9,68,浦东新区,公寓型住宅里的合住房间,1,4,1.0,4,['近地铁站'],Pudong,14.38662987104435,very cheap,Apartment,Shared Room,group1,very cheap,Apartment,Not Shared
38,上海不约而同精品青年旅舍，上海性价比最高的青年旅社，临近人广和外滩,3,4.7,71,静安区,旅舍里的合住房间,1,3,1.0,6,"['灵活取消', '近地铁站', '免费停车', '可以做饭', '小区环境好']",Jing'an,5.163477756740116,very cheap,Hotel,Shared Room,group1,very cheap,Non-apartment,Not Shared
39,上海dsy青年旅社,3,5.0,69,浦东新区,公寓型住宅里的合住房间,1,16,2.0,6,"['灵活取消', '自助入住', '近地铁站']",Pudong,5.493061443340549,very cheap,Apartment,Shared Room,group1,very cheap,Apartment,Not Shared
40,途舍 | 西藏北路地铁口 舒适女生六人间 近人民广场 外滩 南京路 上海火车站 虹口足球场,1,5.0,62,静安区,旅舍里的合住房间,1,6,3.0,6,"['灵活取消', '近地铁站']",Jing'an,0.0,very cheap,Hotel,Shared Room,group1,very cheap,Non-apartment,Not Shared
41,顾村公园商圈/华山医院/上海大学/静安寺/交通大学//徐家汇/7&15顾村公园地铁站步行5分钟,4,5.0,62,宝山区,公寓型住宅里的独立房间,1,1,1.0,1,"['近地铁站', '可以做饭']",Baoshan,6.931471805599453,very cheap,Apartment,Indivual Room,group1,very cheap,Apartment,Not Shared
42,漕宝路地铁站/徐汇日月光1公里，非常温馨的独立次卧,4,5.0,80,徐汇区,公寓型住宅里的独立房间,0,1,1.0,1,"['灵活取消', '近地铁站', '可以做饭']",Xuhui,6.931471805599453,very cheap,Apartment,Indivual Room,group1,very cheap,Apartment,Not Shared
43,静安嘉里中心地带女生合用间沙发床,8,4.8,80,静安区,公寓型住宅里的合住房间,1,1,1.0,1,"['超赞房东', '自助入住', '近地铁站', '可以做饭']",Jing'an,9.981319400063212,very cheap,Apartment,Shared Room,group1,very cheap,Apartment,Not Shared
44,摩卡A特价平层【INS风拍照泳池】【烧烤BBQ】近野生动物园地铁站可住四人,5,5.0,80,浦东新区,别墅里的独立房间,1,2,1.0,4,"['可开发票', '行李寄存', '免费停车', '可以做饭', '桌游', '花园或后院']",Pudong,8.047189562170502,very cheap,Villa,Indivual Room,group1,very cheap,Non-apartment,Not Shared
45,上海市杨浦区地铁八号线旁单间出租,6,5.0,88,杨浦区,公寓型住宅里的独立房间,1,1,1.0,1,"['超赞房东', '灵活取消', '近地铁站']",Yangpu,8.958797346140274,very cheap,Apartment,Indivual Room,group1,very cheap,Apartment,Not Shared
